textid	text	condition	target
32	just had a conversation with the mirror i ended up not having much to say said today is for the lovers and the leaders i hate to tell you it just ain't your day  so this is my rain song it's cold outside and i still love you guess i was dead wrong you'll find out when there's clouds above you finding it ain't worth losing you when it all comes down it comes down to this only rain song you're on my mind and i still love you  and it's a complication with the voices rounding all around inside my mind i used to think this heart had lots of choices but they all lead to your doorstep every time  this is my rain song it's cold outside and i still love you guess i was dead wrong you'll find out when there's clouds above you finding it ain't worth losing you when it all comes down it comes down to this only rain song you're on my mind and i still love you  so this is my apology my words my tears are all me laid out in front of you like a grasp for truth on a sunday afternoon this is a song for you  this is my rain song it's cold outside and i still love you guess i was dead wrong and you'll find out when there's clouds above you finding it ain't worth losing you when it all comes down it comes down to this only rain song you're on my mind and i still love you ooh i still love you  i had a conversation with the mirror it ended up not having much to say	1	0
33	it's strange to think the songs we used to sing the smiles the flowers everything is gone yesterday i found out about you even now just looking at you feels wrong  pre you say that you'd take it all back given one chance it was a moment of weakness and you said yes   you should've said no you should've gone home you should've thought twice 'fore you let it all go you should have known the word 'bout what you did with her'd get back to me and i should've been there in the back of your mind i shouldn't be asking myself why you shouldn't be begging for forgiveness at my feet you should've said no baby and you might still have me   you can see that i've been crying baby you know all the right things to say but do you honestly expect me to believe we could ever be the same  pre you say that the past is the past you need one chance it was a moment of weakness and you said yes   you should've said no you should've gone home you should've thought twice 'fore you let it all go you should've known the word 'bout what you did with her'd get back to me and i should've been there in the back of your mind i shouldn't be asking myself why you shouldn't be begging for forgiveness at my feet you should've said no baby and you might still have me   i can't resist before you go tell me this was it worth this was she worth this no no no no no no   you should've said no you should've gone home you should've thought twice 'fore you let it all go you should've known the word 'bout what you did with her'd get back to me and i should've been there in the back of your mind i shouldn't be asking myself why you shouldn't be begging for forgiveness at my feet you should've said no baby and you might still have me	1	0
34	it would've been nice to see you coming but that would've ruined the surprise it would've been nice to have a picture perfect world but then the truth would hurt my eyes it would've been good for you to be there and every time you always would everything seems to have a picture perfect time and nothing seems to be a blur   it's hard to see a picture drop before it hits the ground it's nice to know you're here and you're helping me down but you were always there when i needed you would always see me clearly and you were never looking for a thank you i'm saying one for you   would've been cool to never fall down but then i never would've seen the power isn't with the picture perfect person you told me better things to come from in between   it's hard to see a picture drop before it hits the ground it's nice to know you're here and you're helping me down but you were always there when i needed you would always see me clearly and you were never looking for a thank you i'm saying one saying one saying one for you   it would've been nice to see you coming but that would've ruined the surprise it would've been nice to have a picture perfect world but then the truth would hurt my eyes    shortened but you were always there when i needed you would always see me clearly and you were never looking for a thank you i'm saying one for you	1	0
35	walking downtown shuffling my feet i try to dream my dreams above the concrete store windows traveled for miles but something i passed really caught my eye it was cracked down the middle permanent scars but i fell in love with this here    nice to meet you can i teach you all i know can you show me what you do where have you been what have you seen who were you before you even knew me have you been played for endless hours or were you left in the corner or were you someone's best friend this here    it was my baby anyone could see i love the cracks the curves the hidden beauty but i can't help wondering why it came to me and where we'll say goodbye the cracks down the middle can't see where they are since i fell in love with this here    nice to meet you can i teach you all i know can you show me what you do where have you been what have you seen who were you before you even knew me have you been played for endless hours or were you left in the corner or were you someone's best friend this here    were you a present from a father to a son did he forget you or just play you 'til you came undone hey did some primadonna love you 'til she got her fame and fortune i won't do that to you   nice to meet you can i teach you all i know can you show me what you do where have you been what have you seen who were you before you even knew me have you been played for endless hours or were you left in the corner or were you someone's best friend this here  you're my  this here	1	0
36	you said the way my blue eyes shined put those georgia stars to shame that night i said that's a lie just a boy in a pickup truck that had a funny way of getting stuck on backroads at night  pre i was right there beside you all summer long then in time we woke up to find that summer gone   when you think tim mcgraw hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress the one you said you liked best next to my old faded pair of jeans when you think tim mcgraw i hope you think me   september saw a month of tears thanking god that you weren't here to see me like that in a box beneath my bed sits a letter that you never read from three summers back  pre it's hard not to find it all bittersweet but looking back on all of that it's nice to believe   when you think tim mcgraw hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress the one you said you liked best next to my old faded pair of jeans when you think tim mcgraw i hope you think me   been back a couple times since then and i didn't look you up but some trains you can't catch again you gotta leave it as it was   but when you think tim mcgraw hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress the one you said you liked best next to my old faded pair of jeans when you think tim mcgraw when you think tim mcgraw when you think tim mcgraw i hope you think me   you said the way my blue eyes shined put those georgia stars to shame that night i said that's a lie	1	0
37	here's to the tour that taught me that your real friends really don't care about the he saidshe said here's to the moments when we've forgotten all about the things that scare us the things we're insecure about and in spite of them we jumped around together under flashing lights fireworks and confetti  to the times i learned by watching you sing along to every song that my greatest triumph in life has been finding the ones who like me for me and that even in your worst times they can see the best in you  here's to the musical family i get to share the stage with and all the things they've sacrificed in their lives to be able to sing play and dance as well as they do here's to our extraordinary crew and the days they spend away from the ones they love so that we can stand under the lights and play for you here's to the people who work at these stadiums and help clean up the glitter on the floor after the party  here's to getting smarter and harder in the nick of time but still remaining delicate enough to care deeply for the ones you can trust and brave enough to stay when it's hard or it's wrong or we're making mistakes here's to life teaching us lessons and us learning growing dancing and changing together everything i've learned about a reputation and how little it really means when defined by those who do not know you i've learned from the fans whose spirits lit up these stadiums  thanks to you i'm doing better than i ever was  love taylor	1	0
38	spoken writing the song lover was one of those magical experiences that you sometimes get to have as a songwriter um i wrote it really quick in the middle of the night as soon as i wrote it i knew i wanted it to be the album title and i knew that writing it kinda would depict the tone of the entire record so it was a real catalyst for what this album turned into and i wrote it alone so i wanted to go in and play it for jack antonoff who i knew who would be the perfect person to produce it and so i walked into the studio and i sat in the piano and this is what happened  so it is it's basically i don't see it as a piano i think it's that like kinda of dreamy y throwback but not like camp throwback so   sung we could leave the christmas lights up 'til january this is our place we make the rules and there's a dazzling haze a mysterious way about you dear have i known you 0 seconds or 0 years  can i go where you go can we always be this close forever and ever and ah take me out take me home you're my my my my lover  spoken yeah i love the walk down i love the walk down i was trying to figure out what the hell is gonna happen there so the so  sung my my my my lover  we could let our friends crash on the couches this is our place we make the call and i'm highly suspicious that everyone who sees you wants you i've loved you three summers now honey but i want 'em all  can i go where you go can we always be this close forever and ever and ah take me out and take me home you're my my my my lover  spoken okay and then i have this  thing that's um essentially well no i was i did i did it in this key but it could be this thing like a key change  so it plays off of the walk downish but it's this is the melody of it it goes it's like  sung ladies and gentlemen will you please stand with every  string scar on my hands i take this magnetic force oh fuck i take this magnetic force of a man to be my lover my heart's been borrowed and yours has been blue all's well that ends well to end up with you swear to be overdramatic and true to my lover and you'll save all your dirtiest jokes for me  spoken wait so goes like  sung and you'll save all your dirtiest jokes for me and at every table i'll save you a seat  spoken so goes and you it goes  sung and you'll save all your dirtiest jokes for me my heart's been borrowed your heart's been blue all's well that ends well to end up with you swear to be overdramatic swear to be overdramatic and true to my lover and you'll save all your dirtiest jokes for me and at every table i'll save you a seat  spoken you like yeah i've never i never do these cords but i was really at the piano like hashing it out yesterday	1	0
39	clean  the drought was the very worst ohoh ohoh when the flowers that we'd grown together died of thirst it was months and months of back and forth ohoh ohoh  pre clean hung my head as i lost the war and the sky turned black like a perfect storm   clean rain came pouring down when i was drowning that's when i could finally breathe and by morning gone was any trace of you i think i am finally clean i think i am finally clean   long live i said remember this moment in the back of my mind the time we stood with our shaking hands the crowds in the stands went wild we were the kings and the queens and they read off our names the night you danced like you knew our lives would never be the same you held your head like a hero on a history book page it was the end of a decade but the start of an age   long live long live the walls we crashed through all the kingdom lights shined just for me and you i was screaming long live all the magic we made and bring on all the pretenders one day we will be remembered long live all the mountains we moved i had the time of my life fighting dragons with you i was screaming long live that look on your face and bring on all the pretenders one day we will be remembered   long live hold on to spinning around confetti falls to the ground may these memories break our fall  transition new year's day  and hold on to spinning around confetti falls to the ground   new year's day there's glitter on the floor after the party girls carrying their shoes down in the lobby candle wax and polaroids on the hardwood floor you and me from the night before but   new year's day don't read the last page but i stay when you're lost and i'm scared and you're turning away i want your midnights but i'll be cleaning up bottles with you on new year's day   new year's day you squeeze my hand three times in the back of the taxi i can tell that it's gonna be a long road i'll be there if you're the toast of the town babe or if you strike out and you're crawling home   new year's day don't read the last page but i stay when it's hard or it's wrong or we're making mistakes i want your midnights but i'll be cleaning up bottles with you on new year's day  post new year's day hold on to the memories they will hold on to you hold on to the memories they will hold on to you hold on to the memories they will hold on to you and i will hold on to you   new year's day please don't ever become a stranger whose laugh i could recognize anywhere please don't ever become a stranger whose laugh i could recognize anywhere   new year's day there's glitter on the floor after the party girls carrying their shoes down in the lobby candle wax and polaroids on the hardwood floor you and me from the night before but   new year's day don't read the last page but i stay when it's hard or it's wrong or we're making mistakes i want your midnights but i'll be cleaning up bottles with you on new year's day  post new year's day hold on to the memories they will hold on to you hold on to the memories they will hold on to you hold on to the memories they will hold on to you  transition long live and long live please don't ever become a stranger the walls we crashed through whose laugh i could recognize anywhere i had the time of my life please don't ever become a stranger with you whose laugh i could recognize anywhere   long live and long live the walls we crashed through i had the time of my life with you	1	0
40	search  where is the video of kanye telling me he was going to call me that bitch in his song it doesn't exist because it never happened you don't get to control someones emotional response to being called that bitch in front of the entire world of course i wanted to like the song i wanted to believe kanye when he told me that i would love the song i wanted us to have a friendly relationship he promised to play the song for me but he never did while i wanted to be supportive of kanye on the phone call you cannot approve a song you havent heard being falsely painted as a liar when i was never given the full story or played any part of the song is character assassination i would very much like to be excluded from this narrative one that i have never asked to be a part of since 009	1	0
41	i like the way you wanted me every night for so long baby i like the way you needed me every time the things got rocky yeah  pre i was believing in you was i mistaken do you mean do you mean what you say when you say our love could last forever   well i'd rather you be mean than love and lie i'd rather hear the truth than have to say goodbye i'd rather take a blow at least then i would know but baby don't you break my heart slow   i like the way you'd hold me every night for so long baby i like the way you'd sing to me every time the things got rocky yeah  pre i was believing in you was i mistaken do you say do you say what you mean when you say our love could last forever    oh yeah yeah   you'd run around and lead me on forever while i stay at home still thinking we're together i want our love to last forever   but i'd rather you be mean than love and lie i'd rather hear the truth than have to say goodbye and i'd rather take a blow at least then i would know but baby don't you break my heart slow now baby don't you break my heart slow	1	0
42	we gather here we line up weepin' in a sunlit room and if i'm on fire you'll be made of ashes too even on my worst day did i deserve babe all the hell you gave me 'cause i loved you i swear i loved you 'til my dying day   i didn't have it in myself to go with grace and you're the hero flying around saving face and if i'm dead to you why are you at the wake cursing my name wishing i stayed look at how my tears ricochet   we gather stones nevеr knowing what they'll mean some to throw oh somе to make a diamond ring you know i didn't want to have to haunt you but what a ghostly scene you wear the same jewels that i gave you as you bury me   i didn't have it in myself to go with grace 'cause when i'd fight you used to tell me i was brave and if i'm dead to you why are you at the wake cursing my name wishing i stayed look at how my tears ricochet   and i can go anywhere i want anywhere i want just not home and you can aim for my heart go for blood but you would still miss me in your bones and i still talk to you when i'm screaming at the sky and when you can't sleep at night you hear my stolen lullabies   i didn't have it in myself to go with grace and so the battleships will sink beneath the waves you had to kill me but it killed you just the same cursing my name wishing i stayed you turned into your worst fears and you're tossing out blame drunk on this pain crossing out the good years you're cursing my name wishing i stayed look at how my tears ricochet   yeah look at how my tears ricochet look at all my tears turning into your tears look at all my tears wash away	1	0
43	guess mine is not the first heart broken my eyes are not the first to cry i'm not the first to know there's just no getting over you you know i'm just a fool who's willing to sit around and wait for you but baby can't you see there's nothing else for me to do i'm hopelessly devoted to you   but now there's nowhere to hide since you pushed my love aside i'm out of my head hopelessly devoted to you hopelessly devoted to you hopelessly devoted to you   my head is saying fool forget him my heart is saying don't let go hold on till the end and that's what i intend to do i'm hopelessly devoted to you   but now there's nowhere to hide since you pushed my love aside i'm out of my head hopelessly devoted to you hopelessly devoted to you hopelessly devoted to you	1	0
44	oh yeah yeah oh oh oh   ooh i know know know know ooh don't grow grow grow grow ooh my love love love love oh don't go go go go don't go go go go   you know it wasn't over when i said i'm gone i came right back to you i wasn't over when i wanted 'cause i ran back to you yeah right back to you  pre you know i had enough when i said i gotta go i gotta go i gotta go ooh and i said i wanna know i wanna know i wanna know but i don't   ooh i know know know know ooh don't grow grow grow grow ooh my love love love love oh don't go go go go don't go go go go   tell me what i want to hear make it crystal clear why you bringing out my fears bringing out the tears the only love i'll ever know is walking down that road doin' all my fuckin' worst  pre you know i had enough when i said i gotta go i gotta go i gotta go ooh and i said i wanna know i wanna know i wanna know but i don't   ooh i know know know know ooh don't grow grow grow grow ooh my love love love love oh don't go go go go don't go go go go	1	1
45	verse ah voices cold my damn teeth turned gold too gold too malone is on some other shit but player that's some old news that's some old news roll through and told you that i just bought some dope shoes motherfucker my shit screw my bitch new haters standing like statues statues bitch i'm tryna get that pac money you can't count it 'cause it's too hot money you fuckers repping and i'm laughing 'cause it's too damn funny ha got a playboy bunny and she tryna take these boxers from me a cuban and some sean don some sean don can't afford the shit that i'm on motherfucker a motherfucking rap phenomenon rap phenomenon all my checks don't forget to add the motherfucking commas on expensive vices payin' too much for liquor liquor you'd have to put 'em down if my raps were any sicker sicker you'd have to put me down if my swag was any slicker slicker park my shit on top of your shit check the bumper sticker   i need a dime a drink and a couple dime bitches a dime a drink and a couple dime bitches a dime a drink and	1	1
46	post malone she talkin' that noise take it all in with the dome all while i talk on the phone after we fuck in the morn' she wake up she wearin' my clothes she always be callin' my phone she always be stealin' my clothes ayy askin' me how does it feel when you know you could buy out the store ayy i'm bathing ape down to the floor ayy i'm droppin' the four in the foreign ayy i came a long way on my own ayy i'm doin' this shit on my own ayy i don't give a fuck what i'm told ayy i came a long way on my own ayy now her pussy made out of gold ayy i swear her pussy owning my soul she got that sauce yeah four days a hundred thousand forever like a diamond she bring me back to life yeah i'm so fly i'm martian quit talkin' all that nonsense i'm just tryna fuck you 'til you don't know nothin' oh   rita ora i cross my t's and dot my i's yeah i'm for real he hold me down hold me down down that's my shield that's my shield he buy whatever he buy whatever he know the drill he know the drill don't need no pills no pills he whispered in my ear and told me feel feel oh i feel feel feel feel feel   rita ora  post malone the thought of you is heavy on my mind i gotta wrap my thoughts and call you loyal and every single time you come around yeah yeah fuck me 'til i can't see straight make me think that ho' was a mistake i just need to feel you all the time ride ho' ride ho' ride   rita ora i cross my t's and dot my i's yeah i'm for real he hold me down hold me down down that's my shield that's my shield he buy whatever he buy whatever he know the drill know the drill don't need no pills no pills he whispered in my ear and told me feel feel oh i feel feel feel feel feel	1	1
47	yeah yeah yeah i'm gonna yeah   i was born in new york i let it rock away in down in the south i laid them shots away put the bands in the four let 'em cop today bitch they all want a 5 they cop today you could ride on my face got that beam on your face let that bitch go to waste yeah got that beam on your face dark green beam on your face let my bitch go to waste yeah  pre  and i wanna yeah wanna fill up yeah i pull up pop pop  yeah and i wanna yeah wanna fill up yeah i pull up pop pop yeah   it's no way you know my bitch do goin' away it's only me and you goin' away it's only me and you it's only me and you it's only me and you it's no way you know my bitch do goin' away it's only me and you goin' away it's only me and you it's only me and you it's only me and you  interlude yeah yeah yeah i'm gonna yeah   let the bull right there let the juul right there let the tower right there in the nights of the bay when the motherfuck yeah let the juul right there let the tower right there in the nights of the bay you now wanna fall when i met you it's another fall when i met you you now wanna fall when i met you when i met you  pre  rollie on the wrist it's how my baby come diamonds on my car i let my baby know rollie on the wrist it's how my baby come and i wanna fuck me and my baby cold   it's no way you know my bitch do goin' away it's only me and you goin' away it's only me and you it's only me and you it's only me and you it's no way you know my bitch do goin' away it's only me and you goin' away it's only me and you it's only me and you it's only me and you   i pour up baby let me pour let me right baby know let me right baby know you know baby know got me baby soul please don't baby let me know got me on that baby soul please don't baby let me know   it's no way you know my bitch do goin' away it's only me and you goin' away it's only me and you it's only me and you it's only me and you it's no way you know my bitch do goin' away it's only me and you goin' away it's only me and you it's only me and you it's only me and you   yeah yeah yeah i'm gonna yeah	1	1
48	ice ice baby woah   girl my wrist be so frozen might stunt on your boyfriend see me in that foreign girl you know that boy borin' them texts you ignore them can't make an appointment girl i get you all that that he can't afford yeah girl my wrist so frozen might stunt on your boyfriend see me in that foreign girl you know that boy borin' them texts you ignore them can't make an appointment girl i get you all that that he can't afford yeah girl my wrist so frozen   ayy she suckin' dick so hard concussion ayy i wanna be so  i'm bussin' ayy and i'ma swag so hard i'm rushin' ayy i wanna be so high i wanna be with you everywhere uhuh ayy   girl my wrist be so frozen might stunt on your boyfriend see me in that foreign girl you know that boy borin' them texts you ignore them can't make an appointment girl i get you all that that he can't afford yeah girl my wrist so frozen might stunt on your boyfriend see me in that foreign girl you know that boy borin' them texts you ignore them can't make an appointment girl i get you all that that he can't afford yeah girl my wrist so frozen	1	1
49	verse said she like the strip club got a big boy said she tired of lil' money need that big boy and i pull up in the muhfuckin' rolls royce and i ain't even gotta fuckin' close the door yeah yeah gwagen gwagen gwagen gwagen go ahead and with her belly up ayy i got a lot of toys rari' rolls royce and i jump out boy ayy and it's sold out boy cherryred lambo just to fuck your boy yeah ayy i be countin' guala in a big truck i be gettin' downa with a bitch lord ain't someone that's funny and i got fourth down this one wasn't a 40 and i jumped fourth down ain't someone to copy ain't a joke no now ain't someone to copy ain't a joke no now gotdamn met somebody at the party ayy gotdamn there's some money in her butt yeah gotdamn met somebody at the party ayy gotdamn there's some money in her butt yeah you was talkin' shit in the beginning you was talkin' on but never finished i ain't gon' start it not that early when you getting money not that early when i got guap all of y'all disappeared i guess i don't need y'all countin' bands anyway there's a muthafucka in the joint without a bitch this wasn't a 40 and i'm pouring out this shit oh yeah   hunnid bands in my pocket it's on me  hunnid i'll pay you for the jeep it's a hunnid ain't gotta remind t when you lookin' for shorty she on me she been workin' she been got it she was with me now there's a 40 in my pocket ain't gon' let me down i just pour a 40 and it don't let me down get some money i just know it ain't gon' let me down	1	1
50	i gotta start off right ooh ooh ooh hey ooh ooh  verse hunnid bands on the floor don't matter its like it don't matter hunnid bands on the floor don't matter its like it don't matter it's like it don't matter it's like it don't matter like it don't matter hunnid on the mantle something's going on  at the fall oh no hey hey its like it dont matter it's like it dont matter it's like it don't matter  this song this song it's like it dont matter at all  hunnid bands  it's like it don't matter it's like it don't matter to ya it's like it don't matter to ya i feel the suffering inside it's like it don't matter to ya i feel the suffering inside it's like it don't matter it's like it don't matter it's like it don't matter inside it's time to pay it's time it's time to pay you take your time like it don't matter like it don't matter like it don't matter like it don't matter it's time to pay it's time to pay hey hey it's time to pay	1	1
51	why you always stressin' girl you thinkin' too much show me 'nother forty bitch you thinkin' too much fuck these other bitches girl you thinkin' too much as i'm on the run and wish you came on the bus i just poured a forty bitch you thinkin' too much forty in my belly it makes you think of the sauce ayy look at all the places bitch yeah that could be us ayy rollie on my wrist and now my girl wanna buss ayy  post your bitch she might whip and pop a wheelie meek mill jumpin' out the benz it's in my pocket we kill i might cop that bentley and you know us we kill ap on my wrist all of my diamonds geek still watch me walkin' through and all these bitches geek still plus i'm on a forty and my bitch so we  i might cop that bentley and you know us we kill walkin' through the hood she pop a wheelie meek mill  refrain yeah yeah put a pornhub sticker on the wraith yeah yeah bitch i run it back said fuck outer space yeah yeah yeah put a pornhub sticker on the wraith yeah yeah bitch i'm ballin' fat like my mink   why you always stressin' girl you thinkin' too much show me 'nother forty bitch you thinkin' too much fuck these other bitches girl you thinkin' too much as i'm on the run and wish you came on the bus i just poured a forty bitch you thinkin' too much forty in my belly it makes you think of the sauce ayy look at all the places bitch yeah that could be us ayy rollie on my wrist and now my girl wanna buss ayy  post your bitch she might whip and pop a wheelie meek mill jumpin' out the benz it's in my pocket we kill i might cop that bentley and you know us we kill ap on my wrist all of my diamonds geek still watch me walkin' through and all these bitches geek still plus i'm on a forty and my bitch so we  i might cop that bentley and you know us we kill walkin' through the hood she pop a wheelie meek mill  refrain yeah yeah put a pornhub sticker on the wraith yeah yeah bitch i run it back said fuck outer space yeah yeah yeah put a pornhub sticker on the wraith yeah yeah bitch i'm ballin' fat like my mink   why you always stressin' girl you thinkin' too much show me 'nother forty bitch you thinkin' too much fuck these other bitches girl you thinkin' too much as i'm on the run and wish you came on the bus i just poured a forty bitch you thinkin' too much forty in my belly it makes you think of the sauce ayy look at all the places bitch yeah that could be us ayy rollie on my wrist and now my girl wanna buss ayy   ayy ayy diamond a dozen ayy fuck hunnid mine over louis summer all wanna know me ayy fuck they all wanna know me that's important i want a grammy i said i want a baby hunnid forty you know my baby dada dada no mine ayy wanna bitch so fine ayy all i want it's all mine yeah wanna measure so fast yeah gotta  all last   why you always stressin' girl you thinkin' too much show me 'nother forty bitch you thinkin' too much fuck these other bitches girl you thinkin' too much as i'm on the run and wish you came on the bus i just poured a forty bitch you thinkin' too much forty in my belly it makes you think of the sauce ayy look at all the places bitch yeah that could be us ayy rollie on my wrist and now my girl wanna buss ayy	1	1
52	post malone ooh yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah   post malone bitch i came up and i don't know i don't know where i go tomorrow bitch i came up and i don't know i don't know what's gonna come tomorrow bitch i came up and i don't know i don't know where i go tomorrow bitch i came up and i don't know i don't know what's gonna come tomorrow yeah   key  post malone i don't even worry about tomorrow it might be some money it might be a ho okay i don't where i'mma be tomorrow might be countin' dough in bed with your ho okay her nose keep runnin' and the money keep comin' hey i'mma keep ballin' hey rucker park spalding hey park spalding carefree i've been living carefree carefree so much kush in the air we can barely even breathe ay i rarely worry about things i don't know don't know you say i'm living wrong you ain't wrong money long ay money long ay so think about it it ain't nothin' i don't know all the money that i saw i don't think i'm ever wrong ay   post malone bitch i came up and i don't know i don't know where i go tomorrow bitch i came up and i don't know i don't know what's gonna come tomorrow bitch i came up and i don't know i don't know where i go tomorrow bitch i came up and i don't know i don't know what's gonna come tomorrow yeah   post malone don't bother bitch don't bother i just left the mall balling hard like jordan swish out in fairfax i was smoking marlboro bitch we so high bitch i'm high as ayatollah woo bitch i'm three high bitch i'm high as ayatollah she don't want that white coca' i ain't talkin' soda bitch ask me do you love me i'm like what i told ya as i woke up i was smoking on that strong again that forty keep it funky i keep it funky funky man i'm smoking on that potent that's unimportant potent i just wanted her to fuck me need her to fuck me fuck me and she just want all of my money all my fucking money money money   post malone bitch i came up and i don't know i don't know where i go tomorrow bitch i came up and i don't know i don't know what's gonna come tomorrow bitch i came up and i don't know i don't know where i go tomorrow bitch i came up and i don't know i don't know what's gonna come tomorrow yeah   post malone hey bitch is somethin' else what this bitch is somethin' else yeah this bitch is somethin' else yeah man this life is somethin' else yeah	1	1
53	i got this knot inside my throat call my vodka up if i come and i'm not suicidal i just drink to forget my problems seems like the kids these days are all just lookin' to get higher oh i'm just the same anything's i won't tell momma and father  pre want it all and we want it now do anything to not come down get my fix someway somehow today   you know you know just how it goes we're just stoned leave us alone ain't nothin' wrong it's cool at home we're good as gold we're all just stoned  drop we're good as gold we're all just stoned we're good as gold we're all just stoned   i got my woman got my high my  and some money and i'll be goddamned if these fuckers try to take that from me but ain't shit wrong with us and don't tell me talk to somebody i'm drunk at  pm treat every day like it's a friday  pre want it all and we want it now do anything to not come down get my fix someway somehow today   you know you know just how it goes we're just stoned leave us alone ain't nothing wrong it's cool at home we're good as gold we're all just stoned  drop we're good as gold we're all just stoned we're good as gold we're all just stoned   you know you know just how it goes we're just stoned leave us alone ain't nothing wrong it's cool at home we're good as gold we're all just stoned oohooh heyohohoh oohooh oohooh oohooh stoned oohooh heyohohoh oohooh we're good as gold we're all just stoned	1	1
54	what else should i be all apologies what else should i say everyone is gay what else should i write i don't have the right what else should i be all apologies   in the sun in the sun i feel as one in the sun in the sun married married   i wish i was like you easily amused find my nest of salt everything is my fault ill take all the blame aqua seafoam shame sunburn freezer burn choking on the ashes of her enemy   in the sun in the sun i feel as one in the sun in the sun married married married married yeah yeah yeah yeah   all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are	1	1
55	i need an easy friend i do with an ear to lend i do think you fit this shoe i do but you have a clue   i'll take advantage while you hang me out to dry but i can't see you every night free i do   i'm standing in your line i do hope you have the time i do pick a number too i do keep a date with you   i'll take advantage while you hang me out to dry but i can't see you every night free      i need an easy friend i do with an ear to lend i do think you fit this shoe i do but you have a clue   i'll take advantage while you hang me out to dry but i can't see you every night no i can't see you every night free   i do i do i do i do	1	1
56	post malone i lost all my friends countin' bands in the bentley coupe diamonds on me doin' handstands rosé on my tooth if she wanna dance let her dance for the money ooh i don't need no friends if you really wanna know the truth i lost all my friends countin' bands in the bentley coupe diamonds on me doin' handstands rosé on my tooth if she wanna dance let her dance for the money ooh i don't need no friends if you really wanna know the truth   ty dolla ign i lost all my friends damn i had to learn the hard way started from the bottom damn right we came a long way talk down on my name yeah they try to take it all away never had it easy no they always made it hard for me never gave me shit had to get my own grip i ain't perfect i admit i kept going never quit i provided for my fam i made sure my dog's ate told my shawty 'bae i love you i fuck with you the long way'  pre ty dolla ign i don't need no friends i'm countin' bands in this new chanel who gon' stick around to the end only time will tell tried to shoot me down dig a hole for my funeral 'said i fall off little bitch you delusional   post malone i lost all my friends countin' bands in the bentley coupe diamonds on me doin' handstands rosé on my tooth if she wanna dance let her dance for the money ooh i don't need no friends if you really wanna know the truth i lost all my friends countin' bands in the bentley coupe diamonds on me doin' handstands rosé on my tooth if she wanna dance let her dance for the money ooh i don't need no friends if you really wanna know the truth   ty dolla ign i don't need no friends if you really wanna know the truth can't apologize nah bitch it ain't no excuse where were you when i was down bad wouldn't give me nothing people only seem to come around when they need something you left me in the storm by myself i was all alone diamond cross necklace hope it only ain't good to my soul homies got the judge and got me feeling like pac i heard that's what you gotta go do when you're this sad  pre ty dolla ign i don't need no friends countin' bands in these ysl's throw a couple racks at little shawty 'cause she bad as hell diamond audemar on my wrist it's a two tone wait a minute hold up who is this this a new phone   post malone i lost all my friends countin' bands in the bentley coupe diamonds on me doin' handstands rosé on my tooth if she wanna dance let her dance for the money ooh i don't need no friends if you really wanna know the truth i lost all my friends countin' bands in the bentley coupe diamonds on me doin' handstands rosé on my tooth if she wanna dance let her dance for the money ooh i don't need no friends if you really wanna know the truth	1	1
57	las vegas sorcerers and sages and the lights turn turn dark like pages and manhattan demons and dragons i'm up in the air where anything can happen and the city us and the others and the city us and the others   oooooh i can do this on my own and oooooooh you know when i am gone all the places i can go all the people i will meet oooooh that don't feel like home to me   break   seattle where all the people battle if the rain pours and bodies wash upon the shore and jackson i walk around without a soul i lost myself in the museum of rock  roll and the city us and the others and the city us and the others   oooooh i can do this on my own and oooooooh you know when i am gone all the places i can go all the people i will meet oooooh that don't feel like home to me   break   eldorado city made of solid gold doesn't matter to you all that i left home i know i've been gone for a while for a while for a while for a while for a while for a while for a while for a while for a while   oooooh i can do this on my own and oooooooh you know when i am gone all the places i can go all the people i will meet oooooh that don't feel like home to me oooooh i can do this on my own and oooooooh it's been a while since i've been gone all the places i have been all the people i have met oooooh i find myself back home again oooooh	1	1
58	monkey see monkey do i don't know why rather be dead than cool i don't know why every line ends in rhyme i don't know why less is more love is blind i don't know why   stay stay away stay away stay away   give an inch take a smile i don't know why fashion shits fashion style i don't know why blow it out keep it in i don't know why have to have poison skin i don't know why   stay stay away stay away stay away i don't know why i don't know why stay stay away stay away stay away   monkey see monkey do i don't know why rather be dead than cool i don't know why every line ends in rhyme i don't know why less is more love is blind i don't know why   stay stay away stay away stay away i don't know why i don't know why stay stay away stay away stay away   yeah stay away stay away stay away stay away stay away god is gay	1	1
